taxa	bafB	bafC	bafD	bafPseudo
DMC2_AF100-7B	0	0	0	1
DMC2_AF100-8B	0	0	0	2
DMC2_AF100-9B	0	0	0	2
DMC2_AF1001_15	0	0	0	1
DMC_AF100-12_42	0	0	0	2
DMC_AF100-12_9	0	0	0	2
DMC_AF100-1_11	0	0	0	0
DMC_AF100-1_14	0	0	0	0
DMC_AF100-1_18	0	0	0	0
DMC_AF100-1_20_C	0	0	0	2
DMC_AF100-1_20_OE	0	0	0	2
DMC_AF100-1_24	0	0	0	0
DMC_AF100-1_3	0	0	0	1
DMC_AF100-1_4	0	0	0	0
DMC_AF100-1_8	0	0	0	0
DMC_AF100-2B	0	0	0	1
DMC_AF100-3B	0	0	0	0
DMC_AF100-4B	0	0	0	0
DMC_AF100-5B	0	0	0	0
DMC_AF100-6B	0	0	0	0
DMC_AF100-7B	0	0	0	1
DMC_AF100-8B	0	0	0	2
DMC_AF100-9B	0	0	0	2
DMC_AF1001_15	0	0	0	1
F11628	0	0	0	0
F12041	0	0	0	0
F12219	0	0	0	1
F12636	1	0	0	0
F12865	0	0	0	0
F13535	0	0	0	0
F13619	1	1	1	0
F13952	0	0	0	0
F14403	0	0	0	1
F14513G	0	0	0	0
F14532	1	0	0	0
F14946G	0	0	0	1
F15390	1	0	0	0
F15767	0	1	0	1
F15927	0	1	0	0
F16134	0	1	0	1
F16216	0	0	0	0
F16311	0	0	0	1
F17582	1	0	0	0
F17729	0	0	0	1
F17729W	0	0	0	1
F17764	0	1	0	1
F17999	1	2	0	1
F18085	0	0	0	1
F18149-JCVI	0	1	0	1
F18149-Manchester	1	0	0	1
F18304	0	2	1	1
F18329	0	0	0	1
F18454	0	0	0	1
F20063	1	0	0	1
F20140	0	0	0	1
F20451	0	0	0	0
F21572	1	0	0	0
F21732	0	0	0	1
F21857	0	0	0	0
F4S1B	0	0	1	0
F5211G	1	0	0	0
F7763	0	2	1	1
ICMP-23421	1	0	0	0
IFM_55369	0	0	1	0
IFM_58026	0	0	0	1
IFM_58029	0	0	0	0
IFM_58401	0	0	0	0
IFM_59056	0	0	0	0
IFM_59073	0	0	0	1
IFM_59355-1	0	0	1	0
IFM_59355-2	0	0	1	0
IFM_59356-1	0	0	1	0
IFM_59356-2	0	0	1	0
IFM_59356-3	0	0	1	0
IFM_59359	0	0	1	0
IFM_59361	0	2	2	0
IFM_59361-1	0	2	2	0
IFM_59361-2	0	2	2	0
